Timestep  Iteration  resNorm(0)  resNorm(1)  
32  3  0.0000378030076060  0.0005893518352509  
33  1  0.0635421324039071  0.0125139097813949  
33  2  0.0000748968039867  0.0045811325076593  
33  3  0.0000661813707958  0.0001995769926690  
34  1  0.0485225546139445  0.0078591417753008  
34  2  0.0001288910984635  0.0056202571009593  
34  3  0.0000532947226548  0.0003167192854652  
35  1  0.0600819096297616  0.0037329366776960  
35  2  0.0000358269444649  0.0044410276070373  
35  3  0.0000173994291946  0.0002945216448048  
36  1  0.0484638140662833  0.0048595425985305  
36  2  0.0000457880831492  0.0012335208288176  
36  3  0.0000206697330551  0.0000950752798845  
37  1  0.0441614201819233  0.0077028689298646  
37  2  0.0000115367260054  0.0020208477442198  
37  3  0.0000258916515393  0.0000671409650054  
38  1  0.0528576207599350  0.0099055834540409  
38  2  0.0000600459056818  0.0037469362700666  
38  3  0.0000072651769984  0.0000527708885732  
39  1  0.0390315613371014  0.0121874492517047  
39  2  0.0000310642122335  0.0034863891994405  
39  3  0.0000264742582593  0.0000823808728456  
40  1  0.0379461175392539  0.0117094954632363  
40  2  0.0000351226894707  0.0021745265856043  
40  3  0.0000426743452688  0.0000477518223360  
41  1  0.0424350716078752  0.0065198004641045  
41  2  0.0000310462111870  0.0022080894846820  
41  3  0.0000256919807526  0.0001746728938594  
42  1  0.0320566589442207  0.0060560324939374  
42  2  0.0000355831838580  0.0018714970000322  
42  3  0.0000185530794091  0.0001107664364222  
43  1  0.0400299486065766  0.0037533169057550  
43  2  0.0000221654756347  0.0014987030658569  
43  3  0.0000126717794774  0.0003497589399100  
44  1  0.0332027704155680  0.0057430105705265  
44  2  0.0000445938752221  0.0028197750556081  
44  3  0.0000285383935591  0.0002324601204717  
45  1  0.0322020977090295  0.0082373439568342  
45  2  0.0000398526350516  0.0013320241092554  
45  3  0.0000096073690177  0.0000467751250107  
46  1  0.0294203381526187  0.0408696353998783  
46  2  0.0004950735027479  0.0014686000059070  
46  3  0.0000320022184503  0.0001535747836740  
47  1  0.0312708410552490  0.0393689296972406  
47  2  0.0007477324911153  0.0054926449740175  
