Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
179  473  2  1  0.0575483656217580  0.8535299584018974  0  
180  476  3  1  0.1483247143619674  0.7284253242861176  0  
181  478  2  1  0.0630710700091617  0.8073392526229854  0  
182  480  2  1  0.0575207519658275  0.6685625487395290  0  
183  482  2  1  0.0620661732586480  0.6038978735547511  0  
184  485  3  1  0.2177359859930543  0.5152404352973945  0  
185  488  3  1  0.1282928758049590  1.4007445935199636  0  
186  490  2  1  0.0409353003783671  0.7981150699942428  0  
187  492  2  1  0.0998166176793252  0.6715424520890659  0  
188  494  2  1  0.0724208694173265  0.8092243745104258  0  
189  496  2  1  0.0622914685808644  0.8927267018118739  0  
190  499  3  1  0.1249385016839267  0.4893273923286189  0  
191  502  3  1  0.1334776483056239  0.5476630746830291  0  
192  504  2  1  0.0558549861460794  0.6116610282560375  0  
193  506  2  1  0.0516940904229081  0.6079162008853131  0  
194  508  2  1  0.0538673123728930  0.6897812618389316  0  
195  510  2  1  0.0750245590345794  0.4283426473371236  0  
196  512  2  1  0.0493951102529298  0.5617398683397959  0  
197  514  2  1  0.0411664114306968  1.0041654192578748  0  
198  516  2  1  0.0908951846570358  0.5779744763044572  0  
199  518  2  1  0.0668910923167681  0.6579624201632386  0  
200  520  2  1  0.0614657243309826  1.0294192845335901  0  
201  522  2  1  0.0827466774365213  0.7295915578129849  0  
202  524  2  1  0.0663604781576246  0.5969087134489991  0  
203  526  2  1  0.0723968921148800  0.6174234471340676  0  
204  529  3  1  0.1783646751877255  0.8385861209076618  0  
205  531  2  1  0.0593463573247803  0.9350585123501310  0  
206  533  2  1  0.0997891360626091  0.6947163279021861  0  
207  535  2  1  0.0739267687465067  0.5040644277159887  0  
208  537  2  1  0.0547416986377343  1.3356261856264555  0  
209  539  2  1  0.0841745569844390  0.5812368375557313  0  
210  541  2  1  0.0697476071258285  0.7440575444269582  0  
211  543  2  1  0.0634818107667129  0.6503425038575293  0  
212  545  2  1  0.0571273061833020  0.9313497313144656  0  
213  548  3  1  0.1412320350019543  0.8170384987935921  0  
214  550  2  1  0.0867855791424934  0.7218153963053209  0  
215  552  2  1  0.0818157221413355  0.6145672675101169  0  
216  554  2  1  0.0574619546295246  0.7071904858790713  0  
217  556  2  1  0.0896041486759360  0.8137796602209052  0  
218  558  2  1  0.0657191629451434  0.8829341077233325  0  
219  560  2  1  0.0690948558930045  1.1496360161169303  0  
220  562  2  1  0.0849838055731916  0.7407017475077777  0  
221  564  2  1  0.0494147707792537  1.1017288883182057  0  
222  566  2  1  0.0582290573263471  0.8804419880173637  0  
223  568  2  1  0.0911170589210369  0.7325845916745602  0  
224  571  3  1  0.1764344408573897  0.9479426588905305  0  
225  573  2  1  0.0636323197874806  0.8728411871456117  0  
226  575  2  1  0.0665605502753902  0.9580277337718710  0  
227  577  2  1  0.0848790354298114  0.6235048388349888  0  
228  579  2  1  0.1066700441626751  0.5558227759948352  0  
